worker=1 total=4 scenarios=81
[worker 1] skip distribution_fingerprint_k4_iid_cap1_r1_seed1_gaussian_noise
[worker 1] skip distribution_fingerprint_k4_iid_cap4_r1_seed2_gaussian_noise
[worker 1] skip distribution_fingerprint_k4_iid_cap1_r5_seed0_gaussian_noise
[worker 1] run distribution_fingerprint_k4_iid_cap4_r5_seed1_gaussian_noise
[worker 1] done distribution_fingerprint_k4_iid_cap4_r5_seed1_gaussian_noise
[worker 1] run distribution_fingerprint_k4_iid_cap16_r5_seed2_gaussian_noise
[worker 1] done distribution_fingerprint_k4_iid_cap16_r5_seed2_gaussian_noise
[worker 1] run distribution_fingerprint_k4_iid_cap4_r10_seed0_gaussian_noise
[worker 1] done distribution_fingerprint_k4_iid_cap4_r10_seed0_gaussian_noise
[worker 1] run distribution_fingerprint_k4_iid_cap16_r10_seed1_gaussian_noise
[worker 1] done distribution_fingerprint_k4_iid_cap16_r10_seed1_gaussian_noise
[worker 1] run distribution_fingerprint_k4_label_skew_cap1_r1_seed2_gaussian_noise
[worker 1] done distribution_fingerprint_k4_label_skew_cap1_r1_seed2_gaussian_noise
[worker 1] run distribution_fingerprint_k4_label_skew_cap16_r1_seed0_gaussian_noise
[worker 1] done distribution_fingerprint_k4_label_skew_cap16_r1_seed0_gaussian_noise
[worker 1] run distribution_fingerprint_k4_label_skew_cap1_r5_seed1_gaussian_noise
[worker 1] done distribution_fingerprint_k4_label_skew_cap1_r5_seed1_gaussian_noise
[worker 1] run distribution_fingerprint_k4_label_skew_cap4_r5_seed2_gaussian_noise
[worker 1] done distribution_fingerprint_k4_label_skew_cap4_r5_seed2_gaussian_noise
[worker 1] run distribution_fingerprint_k4_label_skew_cap1_r10_seed0_gaussian_noise
[worker 1] done distribution_fingerprint_k4_label_skew_cap1_r10_seed0_gaussian_noise
[worker 1] run distribution_fingerprint_k4_label_skew_cap4_r10_seed1_gaussian_noise
[worker 1] done distribution_fingerprint_k4_label_skew_cap4_r10_seed1_gaussian_noise
[worker 1] run distribution_fingerprint_k4_label_skew_cap16_r10_seed2_gaussian_noise
[worker 1] done distribution_fingerprint_k4_label_skew_cap16_r10_seed2_gaussian_noise
[worker 1] run distribution_fingerprint_k4_domain_skew_cap4_r1_seed0_gaussian_noise
[worker 1] done distribution_fingerprint_k4_domain_skew_cap4_r1_seed0_gaussian_noise
[worker 1] run distribution_fingerprint_k4_domain_skew_cap16_r1_seed1_gaussian_noise
[worker 1] done distribution_fingerprint_k4_domain_skew_cap16_r1_seed1_gaussian_noise
[worker 1] run distribution_fingerprint_k4_domain_skew_cap1_r5_seed2_gaussian_noise
[worker 1] done distribution_fingerprint_k4_domain_skew_cap1_r5_seed2_gaussian_noise
[worker 1] run distribution_fingerprint_k4_domain_skew_cap16_r5_seed0_gaussian_noise
[worker 1] done distribution_fingerprint_k4_domain_skew_cap16_r5_seed0_gaussian_noise
[worker 1] run distribution_fingerprint_k4_domain_skew_cap1_r10_seed1_gaussian_noise
[worker 1] done distribution_fingerprint_k4_domain_skew_cap1_r10_seed1_gaussian_noise
[worker 1] run distribution_fingerprint_k4_domain_skew_cap4_r10_seed2_gaussian_noise
[worker 1] done distribution_fingerprint_k4_domain_skew_cap4_r10_seed2_gaussian_noise
